Size,Sequential Duration (ns),Threaded Duration (ns),BLAS Duration (ns),Seq vs Thread Avg Error,Seq vs BLAS Avg Error,Thread vs BLAS Avg Error,Seq vs Thread Max Error,Seq vs BLAS Max Error,Thread vs BLAS Max Error,Seq GFLOPS,Thread GFLOPS,BLAS GFLOPS
940,8.78E+08,7.33E+08,1.38E+07,0,1.64E-09,1.64E-09,0,1.07E-08,1.07E-08,1.89112,2.26745,119.981
960,9.38E+08,7.72E+08,1.46E+07,0,1.72E-09,1.72E-09,0,1.21E-08,1.21E-08,1.8869,2.29339,121.329
980,9.98E+08,8.09E+08,1.21E+07,0,1.79E-09,1.79E-09,0,1.12E-08,1.12E-08,1.88577,2.32636,154.939
1000,1.07E+09,9.05E+08,1.23E+07,0,1.86E-09,1.86E-09,0,1.12E-08,1.12E-08,1.86695,2.20995,162.284
2000,1.78E+10,6.47E+09,8.95E+07,0,5.15E-09,5.15E-09,0,3.54E-08,3.54E-08,0.898341,2.47481,178.703
3000,8.65E+10,2.27E+10,2.56E+08,0,8.56E-09,8.56E-09,0,5.96E-08,5.96E-08,0.624211,2.37792,210.634
4000,2.72E+11,9.46E+10,5.72E+08,0,1.45E-08,1.45E-08,0,9.87E-08,9.87E-08,0.470384,1.35312,223.909
5000,6.15E+11,3.32E+11,1.46E+09,0,1.98E-08,1.98E-08,0,1.45E-07,1.45E-07,0.406223,0.752255,171.715
6000,1.20E+12,1.83E+12,4.53E+09,0,2.41E-08,2.41E-08,0,1.77E-07,1.77E-07,0.360244,0.235802,95.3341
7000,2.08E+12,2.44E+12,8.15E+09,0,3.04E-08,3.04E-08,0,2.20E-07,2.20E-07,0.330413,0.280927,84.1979
8000,3.30E+12,1.71E+12,1.61E+10,0,4.08E-08,4.08E-08,0,2.87E-07,2.87E-07,0.310516,0.598292,63.5638
9000,5.02E+12,2.91E+12,7.32E+09,0,4.90E-08,4.90E-08,0,3.43E-07,3.43E-07,0.290638,0.500779,199.286
10000,7.10E+12,5.16E+12,1.20E+10,0,5.61E-08,5.61E-08,0,4.06E-07,4.06E-07,0.281521,0.38776,166.499
